Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J1631.8+4144,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J0117.9+1430,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_fsrq
4FGL J0115.4-2917,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J1338.0-4159,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J0102.0-6240,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J2237.2-6726,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J0944.6+5729,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J0259.0+0552,unass,AGN,1.0,1.0,0.0,0.0,0.0,0.0,predicted_bll
4FGL J0448.7-2116,unass,AGN,0.995,0.995,0.0,0.005,0.0,0.0,predicted_fsrq
4FGL J0202.7+3133,unass,AGN,0.995,0.995,0.0,0.0,0.005,0.0,predicted_bll
4FGL J0312.6-1601,unass,AGN,0.995,0.995,0.0,0.0,0.005,0.0,predicted_bll
4FGL J1328.9+5019,unass,AGN,0.995,0.995,0.005,0.0,0.0,0.0,predicted_fsrq
4FGL J0156.3-2420,unass,AGN,0.995,0.995,0.005,0.0,0.0,0.0,predicted_bll
4FGL J1910.8+6300,unass,AGN,0.995,0.995,0.0,0.0,0.0,0.005,predicted_bll
4FGL J1133.1+5135,unass,AGN,0.995,0.995,0.0,0.005,0.0,0.0,predicted_fsrq
4FGL J1708.2+5519,unass,AGN,0.995,0.995,0.0,0.005,0.0,0.0,predicted_fsrq
4FGL J2211.9-2924,unass,AGN,0.995,0.995,0.0,0.0,0.0,0.005,predicted_bll
4FGL J2342.7+3154,unass,AGN,0.995,0.995,0.0,0.005,0.0,0.0,predicted_fsrq
4FGL J1718.5+4237,unass,AGN,0.995,0.995,0.005,0.0,0.0,0.0,predicted_fsrq
4FGL J2117.1-5307,unass,AGN,0.995,0.995,0.0,0.0,0.0,0.005,predicted_bll
4FGL J0550.5-4356,unass,AGN,0.995,0.995,0.0,0.005,0.0,0.0,predicted_bll
4FGL J2234.2-4156,unass,AGN,0.995,0.995,0.0,0.0,0.0,0.005,predicted_bll
4FGL J0159.8-2234,unass,AGN,0.99,0.99,0.0,0.0,0.005,0.005,predicted_bll
4FGL J1055.9+6507,unass,AGN,0.99,0.99,0.005,0.005,0.0,0.0,predicted_bcu
4FGL J0755.6+1855,unass,AGN,0.99,0.99,0.01,0.0,0.0,0.0,predicted_bll
4FGL J0346.1+0342,unass,AGN,0.99,0.99,0.005,0.0,0.005,0.0,predicted_bll
4FGL J2353.2+3135,unass,AGN,0.99,0.99,0.005,0.0,0.0,0.005,predicted_fsrq
4FGL J0611.5-2918,unass,AGN,0.99,0.99,0.0,0.005,0.005,0.0,predicted_bll
4FGL J0343.3-6303,unass,AGN,0.99,0.99,0.005,0.0,0.005,0.0,predicted_bll
4FGL J0035.2-1739,unass,AGN,0.99,0.99,0.0,0.005,0.005,0.0,predicted_bll
4FGL J2344.7-4234,unass,AGN,0.99,0.99,0.0,0.01,0.0,0.0,predicted_bll
4FGL J0347.5+0722,unass,AGN,0.99,0.99,0.0,0.005,0.0,0.005,predicted_bll
4FGL J1841.6+7113,unass,AGN,0.99,0.99,0.0,0.005,0.0,0.005,predicted_bll
4FGL J0230.4-1140,unass,AGN,0.99,0.99,0.0,0.0,0.01,0.0,predicted_bll
4FGL J2022.3+0413,unass,AGN,0.99,0.99,0.0,0.01,0.0,0.0,predicted_bll
4FGL J1007.6+4253,unass,AGN,0.99,0.99,0.005,0.0,0.0,0.005,predicted_fsrq
4FGL J0919.3+6607,unass,AGN,0.99,0.99,0.0,0.01,0.0,0.0,predicted_bll
4FGL J0004.4-4001,unass,AGN,0.99,0.99,0.005,0.0,0.0,0.005,predicted_bll
4FGL J0608.6+1149,unk,AGN,0.99,0.99,0.0,0.01,0.0,0.0,predicted_bll
